Reliance	1,264.80	2.19	1,329.00	880.00	801,714.48
TCS	1,999.60	0.58	2,275.95	1,390.78	750,326.85
HDFC Bank	2,104.25	-0.14	2,220.00	1,828.50	572,765.86
HUL	1,699.80	-1.44	1,869.50	1,281.10	367,947.03
ITC	285.75	1.13	322.95	252.50	350,068.03
HDFC	1,885.20	1.35	2,052.95	1,644.50	324,251.37
Infosys	732.50	0.00	772.25	551.00	320,003.78
SBI	278.10	0.60	326.40	232.35	248,193.45
ICICI Bank	371.95	2.40	383.55	256.50	239,656.18
Kotak Mahindra	1,241.30	0.07	1,417.00	1,002.20	236,844.26
Maruti Suzuki	7,056.90	-0.85	9,929.00	6,317.70	213,174.88
ONGC	154.80	-0.13	192.00	127.60	198,658.48
Axis Bank	720.60	-1.56	734.50	481.25	185,257.83
Larsen	1,317.00	0.86	1,459.70	1,182.50	184,672.41
Wipro	277.45	1.74	291.71	190.13	167,401.40
Bajaj Finance	2,766.70	2.65	2,994.00	1,594.20	159,906.51
Coal India	242.75	0.66	309.45	211.40	150,684.86
IOC	154.90	0.81	206.45	105.25	145,825.32
HCL Tech	1,043.25	-0.88	1,125.05	880.05	141,492.15
Asian Paints	1,393.70	-0.72	1,490.60	1,092.15	133,683.40
Bharti Airtel	309.40	0.50	429.80	276.85	123,679.56
NTPC	148.95	1.33	180.00	128.00	122,816.19
Hind Zinc	268.10	-1.20	336.50	242.85	113,280.80
Sun Pharma	460.55	1.02	679.30	370.20	110,501.37
UltraTechCement	3,978.65	0.42	4,493.65	3,260.45	109,268.64
Bajaj Finserv	6,609.15	1.00	7,200.00	4,800.00	105,175.44
Nestle	10,320.75	-1.76	11,751.00	7,566.00	99,508.25
Power Grid Corp	184.50	0.82	216.00	172.50	96,522.83
Titan Company	1,055.95	2.02	1,076.85	732.30	93,745.78
IndusInd Bank	1,534.85	-0.44	2,038.00	1,333.15	92,496.65
Avenue Supermar	1,470.35	-0.11	1,698.70	1,125.75	91,762.26
Bajaj Auto	2,927.60	0.82	3,194.95	2,420.00	84,715.09
M&M	658.90	0.33	993.00	615.60	81,913.96
Tech Mahindra	823.55	1.67	840.00	603.00	80,984.82
BPCL	372.70	2.81	468.40	238.55	80,848.05
HDFC Life	390.05	3.65	548.25	344.40	78,683.10
GAIL	345.35	-0.33	399.40	295.25	77,878.87
Dabur India	436.75	-1.37	490.65	311.95	77,142.77
Britannia	3,026.85	-1.37	3,467.18	2,390.00	72,740.74
Godrej Consumer	705.70	1.45	978.67	634.00	72,134.26
JSW Steel	289.95	-0.43	427.55	256.60	70,087.31
Adani Ports	337.05	-0.65	415.65	292.10	69,801.43
Vedanta	178.50	2.03	327.45	145.80	66,351.96
Tata Steel	520.85	-0.17	674.00	441.35	62,716.89
Shree Cements	17,474.20	1.32	19,290.00	13,100.00	60,875.26
SBI Life Insura	607.95	0.03	774.60	485.00	60,795.00
Bandhan Bank	501.05	2.99	741.80	368.10	59,777.98
Eicher Motors	21,503.95	-0.01	32,236.70	18,800.00	58,670.24
Pidilite Ind	1,142.05	-0.02	1,211.45	858.35	58,013.66
Bosch	18,875.20	-0.25	22,400.00	16,975.00	57,608.51
Bharti Infratel	302.55	2.16	350.00	242.25	55,959.90
Hero Motocorp	2,765.85	-1.07	3,825.00	2,561.00	55,241.46
Tata Motors	188.80	-2.71	372.35	129.00	54,513.14
Yes Bank	235.30	-0.91	404.00	146.75	54,444.32
Grasim	820.10	1.23	1,150.80	689.10	53,929.64
Motherson Sumi	168.30	2.34	239.67	127.15	53,148.03
ICICI Prudentia	341.40	4.29	462.20	277.35	49,017.68
Piramal Enter	2,577.05	4.73	3,307.95	1,794.90	47,428.07
Interglobe Avi	1,228.70	3.59	1,520.00	691.00	47,232.07
Hindalco	202.75	2.01	267.80	182.20	45,528.01
Divis Labs	1,705.90	2.54	1,705.90	980.50	45,286.29
Zee Entertain	470.90	-2.80	609.75	288.30	45,228.37
Dr Reddys Labs	2,693.65	1.49	2,878.00	1,872.95	44,730.98
UPL	877.35	0.21	881.90	537.25	44,687.18
Havells India	713.70	-0.99	754.25	483.65	44,640.00
Cipla	547.55	-0.20	678.45	483.75	44,116.05
ICICI Lombard	969.10	-0.15	1,014.80	638.80	44,021.65
General Insuran	250.45	1.83	384.95	207.35	43,938.95
Ambuja Cements	220.25	-0.79	252.75	188.35	43,733.84
Marico	336.85	0.36	396.60	282.95	43,482.77
Aurobindo Pharm	733.35	-0.37	830.45	527.00	42,967.53
United Spirits	563.05	-0.65	731.44	438.20	40,913.39
Biocon	626.10	-0.13	718.00	543.30	37,566.00
HPCL	246.45	-0.12	385.50	163.00	37,554.61
United Brewerie	1,392.40	1.06	1,491.40	908.35	36,815.77
Siemens	1,019.20	-1.10	1,156.85	850.25	36,295.78
Bajaj Holdings	3,220.10	1.86	3,316.05	2,451.20	35,837.62
Lupin	789.05	0.57	986.10	723.65	35,700.70
IDBI Bank	45.70	-1.19	91.50	41.30	35,354.88
Colgate	1,275.75	3.03	1,354.80	1,018.30	34,698.57
P and G	10,668.50	-3.13	11,337.00	8,800.00	34,630.74
Petronet LNG	227.35	0.44	249.80	202.05	34,102.50
New India Assur	205.50	11.32	382.43	169.00	33,866.40
NMDC	107.00	1.18	127.50	88.60	33,853.63
Cadila Health	330.35	-0.29	432.50	305.95	33,819.34
HDFC AMC	1,503.65	2.06	1,970.00	1,100.00	31,963.57
DLF	177.35	1.00	229.70	142.00	31,647.67
PNB	82.40	-0.30	106.75	58.45	31,328.34
Indiabulls Hsg	730.50	-1.28	1,397.00	575.35	31,221.81
Torrent Pharma	1,800.50	1.57	1,962.00	1,221.20	30,468.55
Power Finance	114.65	-1.42	116.85	67.50	30,268.53
Oracle Fin Serv	3,510.50	-1.75	4,658.40	3,321.35	30,110.69
GlaxoSmith Con	7,080.60	-1.37	7,948.00	5,725.00	29,777.84
Container Corp	486.90	0.51	600.00	433.60	29,666.54
Bank of Baroda	112.10	-0.40	157.50	91.00	29,656.24
Berger Paints	304.55	-0.13	349.90	237.00	29,572.87
ACC	1,554.40	1.47	1,678.90	1,255.65	29,189.65
L&T Infotech	1,649.90	-1.32	1,987.00	1,271.50	28,617.43
REC	143.65	-0.24	144.90	89.00	28,369.70
L&T Finance
